occ_title,a_mean_2017,a_mean_2018,a_mean_2019,a_mean_2020,a_mean_2021,a_mean_2022,a_mean_2023,a_mean_2024
"Architects, Except Landscape and Naval",87500.0,88860.0,89560.0,89470.0,91900.0,96510.0,100400.0,103390.0
Landscape Architects,70880.0,73160.0,73970.0,75440.0,74980.0,77820.0,83990.0,88000.0
Cartographers and Photogrammetrists,67390.0,68340.0,69790.0,72420.0,73510.0,75300.0,78810.0,82860.0
Surveyors,65300.0,66440.0,67920.0,70260.0,68880.0,71060.0,74000.0,76730.0
Engineers,98190.0,99230.0,100770.0,102500.0,104000.0,107170.0,111890.0,116760.0
Aerospace Engineers,115300.0,117100.0,119220.0,121110.0,122970.0,127090.0,134330.0,141180.0
Agricultural Engineers,77970.0,79090.0,98290.0,101620.0,87350.0,90710.0,93490.0,84240.0
Biomedical Engineers,92970.0,95090.0,,,,,,
Chemical Engineers,112430.0,114470.0,117090.0,114820.0,121840.0,117820.0,122910.0,128430.0
Civil Engineers,91790.0,93720.0,94360.0,95440.0,95490.0,97380.0,101160.0,107050.0
Computer Hardware Engineers,119650.0,117840.0,123030.0,126140.0,136230.0,140830.0,147770.0,156770.0
Electrical Engineers,99580.0,101600.0,103480.0,105990.0,107890.0,114050.0,117680.0,120980.0
"Electronics Engineers, Except Computer",106760.0,107930.0,110210.0,112320.0,115490.0,118460.0,124190.0,132500.0
Environmental Engineers,91180.0,92640.0,94220.0,96890.0,100220.0,101670.0,105840.0,110570.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",92190.0,93630.0,94810.0,97330.0,99700.0,103570.0,108740.0,113770.0
Industrial Engineers,90340.0,91630.0,92660.0,93610.0,95200.0,98560.0,103150.0,107900.0
Marine Engineers and Naval Architects,96910.0,98970.0,98730.0,99590.0,97820.0,105560.0,108110.0,116680.0
Materials Engineers,98610.0,96930.0,97890.0,100550.0,101950.0,105420.0,110430.0,116380.0
Mechanical Engineers,91500.0,92800.0,93540.0,95560.0,97000.0,100820.0,105220.0,110080.0
"Mining and Geological Engineers, Including Mining Safety Engineers",103710.0,98420.0,96990.0,100140.0,100450.0,101290.0,105460.0,108940.0
Nuclear Engineers,108910.0,110790.0,120700.0,125130.0,121760.0,124540.0,126950.0,134980.0
Petroleum Engineers,154780.0,156370.0,156780.0,154330.0,145720.0,142800.0,148590.0,153560.0
"Engineers, All Other",99310.0,99410.0,102460.0,107060.0,107800.0,111280.0,118350.0,121720.0
"Drafters, Engineering Technicians, and Mapping Technicians",58450.0,59410.0,60320.0,61660.0,62420.0,64370.0,67700.0,71540.0
Architectural and Civil Drafters,55110.0,56700.0,58080.0,59120.0,60620.0,61660.0,65000.0,68860.0
Electrical and Electronics Drafters,63720.0,64400.0,65720.0,65720.0,67090.0,68640.0,73110.0,77960.0
Mechanical Drafters,58150.0,59010.0,60500.0,61490.0,62650.0,65700.0,69920.0,74040.0
"Drafters, All Other",53990.0,54240.0,54840.0,56530.0,58330.0,60370.0,62980.0,66530.0
Aerospace Engineering and Operations Technicians,71340.0,68970.0,,,,,,
Civil Engineering Technicians,53600.0,54670.0,,,,,,
Electrical and Electronics Engineering Technicians,64290.0,65050.0,,,,,,
Electro-Mechanical Technicians,59490.0,60240.0,,,,,,
Environmental Engineering Technicians,53610.0,54800.0,,,,,,
Industrial Engineering Technicians,57810.0,58860.0,,,,,,
Mechanical Engineering Technicians,58180.0,58240.0,,,,,,
"Engineering Technicians, Except Drafters, All Other",64550.0,65720.0,,,,,,
Surveying and Mapping Technicians,46350.0,47690.0,48500.0,49770.0,49810.0,51570.0,54090.0,56890.0
Life Scientists,84860.0,86450.0,88770.0,91710.0,93190.0,96840.0,100630.0,101980.0
Animal Scientists,68840.0,67690.0,68570.0,74540.0,80390.0,85870.0,89450.0,104970.0
Food Scientists and Technologists,71990.0,72570.0,76190.0,80190.0,84150.0,85730.0,88350.0,92190.0
Soil and Plant Scientists,69170.0,70630.0,69860.0,73040.0,76290.0,76410.0,77080.0,83040.0
Biochemists and Biophysicists,105410.0,105940.0,108180.0,104810.0,113460.0,114740.0,120310.0,115570.0
Microbiologists,78400.0,81150.0,82760.0,91840.0,87820.0,88950.0,93380.0,95200.0
Zoologists and Wildlife Biologists,66250.0,67760.0,67200.0,70510.0,70300.0,72610.0,75740.0,77920.0
"Biological Scientists, All Other",80200.0,83600.0,87590.0,89910.0,90010.0,95920.0,99060.0,100440.0
Conservation Scientists,64850.0,65320.0,67040.0,69020.0,68230.0,69810.0,73160.0,74310.0
Foresters,61710.0,63150.0,63270.0,66000.0,67710.0,68090.0,70680.0,74670.0
Epidemiologists,76230.0,75690.0,78290.0,83620.0,86740.0,85880.0,90430.0,94160.0
"Medical Scientists, Except Epidemiologists",96070.0,96420.0,98770.0,101800.0,104050.0,110670.0,112380.0,112690.0
"Life Scientists, All Other",82270.0,89150.0,85890.0,92170.0,94430.0,100370.0,101520.0,101940.0
Physical Scientists,88470.0,90470.0,91110.0,93560.0,96340.0,97570.0,101110.0,104070.0
Astronomers,109560.0,111090.0,122270.0,126250.0,139410.0,127460.0,128940.0,134430.0
Physicists,123080.0,125280.0,131080.0,137700.0,151580.0,150130.0,158270.0,166000.0
Atmospheric and Space Scientists,93710.0,95580.0,97160.0,100550.0,96880.0,93610.0,101530.0,103980.0
Chemists,81870.0,83850.0,84150.0,86410.0,89130.0,90530.0,95560.0,95940.0
Materials Scientists,101910.0,102450.0,100430.0,104450.0,104790.0,110690.0,112440.0,111410.0
"Environmental Scientists and Specialists, Including Health",76220.0,77580.0,77940.0,80090.0,81240.0,83820.0,86710.0,88640.0
"Geoscientists, Except Hydrologists and Geographers",105830.0,107800.0,108350.0,112110.0,103550.0,104560.0,104000.0,111310.0
Hydrologists,84290.0,82790.0,86330.0,90150.0,94780.0,96300.0,96410.0,98130.0
"Physical Scientists, All Other",107180.0,110090.0,112070.0,110100.0,113220.0,116230.0,119050.0,123070.0
Social Scientists and Related Workers,83110.0,85900.0,88030.0,90150.0,90810.0,94560.0,99260.0,101290.0
Economists,112650.0,116020.0,116630.0,120880.0,120830.0,128180.0,132650.0,130910.0
Survey Researchers,60700.0,63240.0,65760.0,66960.0,64690.0,66440.0,66670.0,73470.0
"Clinical, Counseling, and School Psychologists",81330.0,85340.0,87450.0,89290.0,,,,
Industrial-Organizational Psychologists,102530.0,109030.0,111150.0,112690.0,113320.0,144610.0,154380.0,134400.0
"Psychologists, All Other",93440.0,95610.0,98230.0,100130.0,98010.0,99560.0,110300.0,111340.0
Sociologists,86130.0,90290.0,90590.0,93420.0,96260.0,101310.0,106710.0,111670.0
Urban and Regional Planners,74350.0,76240.0,77750.0,79410.0,81310.0,82420.0,85940.0,89730.0
Anthropologists and Archeologists,66330.0,65310.0,66810.0,69960.0,66800.0,68310.0,69780.0,71070.0
Geographers,76790.0,80530.0,81970.0,85620.0,86740.0,88960.0,92460.0,98160.0
Historians,64220.0,66380.0,68690.0,68400.0,72130.0,72900.0,76120.0,78470.0
Political Scientists,112030.0,115300.0,120260.0,124100.0,120430.0,126140.0,132020.0,137600.0
"Social Scientists and Related Workers, All Other",83230.0,85750.0,87690.0,91280.0,90900.0,94560.0,102210.0,106440.0
"Life, Physical, and Social Science Technicians",49970.0,50990.0,52340.0,53010.0,53890.0,55900.0,59970.0,61200.0
Agricultural and Food Science Technicians,42910.0,44170.0,44440.0,45920.0,,,,
Biological Technicians,47410.0,48060.0,49110.0,49490.0,51770.0,53560.0,56540.0,58020.0
Chemical Technicians,51010.0,51670.0,52910.0,53700.0,55040.0,56180.0,60920.0,61300.0
Geological and Petroleum Technicians,63450.0,62890.0,,,,,,
Nuclear Technicians,80000.0,79970.0,82710.0,83810.0,95200.0,97040.0,97520.0,100730.0
Social Science Research Assistants,49030.0,50420.0,51340.0,53560.0,56430.0,57760.0,62370.0,63560.0
"Environmental Science and Protection Technicians, Including Health",49310.0,50350.0,50760.0,50960.0,50550.0,53970.0,57470.0,56770.0
Forensic Science Technicians,61220.0,62490.0,63170.0,64890.0,66850.0,69260.0,71540.0,75260.0
Forest and Conservation Technicians,39180.0,40110.0,45860.0,42780.0,43420.0,45000.0,54260.0,56660.0
"Life, Physical, and Social Science Technicians, All Other",51160.0,52940.0,53670.0,56830.0,55420.0,57790.0,62640.0,64640.0
"Counselors, Social Workers, and Other Community and Social Service Specialists",48060.0,49270.0,50410.0,52120.0,53950.0,55660.0,58910.0,62980.0
"Educational, Guidance, School, and Vocational Counselors",58620.0,60160.0,,,,,,
Marriage and Family Therapists,53860.0,54150.0,54590.0,56890.0,59660.0,63300.0,68730.0,72720.0
Rehabilitation Counselors,38950.0,39930.0,40160.0,42080.0,44740.0,46020.0,48430.0,51260.0
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",46560.0,47920.0,49950.0,51550.0,53490.0,56230.0,60080.0,65100.0
"Counselors, All Other",47600.0,47740.0,48800.0,50800.0,49730.0,49770.0,52360.0,58070.0
"Child, Family, and School Social Workers",48430.0,49760.0,51030.0,52370.0,54880.0,56680.0,59190.0,62920.0
Healthcare Social Workers,56810.0,58470.0,59300.0,60470.0,62310.0,62760.0,67430.0,72030.0
Mental Health and Substance Abuse Social Workers,47830.0,49630.0,51670.0,54540.0,57800.0,60130.0,63870.0,68290.0
"Social Workers, All Other",60900.0,62660.0,61750.0,64940.0,63010.0,64360.0,68800.0,74680.0
Health Educators,59010.0,59660.0,,,,,,
Probation Officers and Correctional Treatment Specialists,56630.0,58790.0,59910.0,61900.0,63290.0,64920.0,67880.0,71530.0
Social and Human Service Assistants,35460.0,35830.0,37050.0,38230.0,40460.0,41600.0,44240.0,47090.0
Community Health Workers,42340.0,43480.0,44390.0,46000.0,47780.0,49900.0,52610.0,55970.0
"Community and Social Service Specialists, All Other",44780.0,46050.0,46900.0,49600.0,50510.0,51620.0,54020.0,58360.0
Religious Workers,47880.0,49790.0,52260.0,53790.0,54340.0,58480.0,60800.0,64360.0
Clergy,50800.0,53290.0,55190.0,56560.0,57230.0,60180.0,63720.0,67160.0
"Directors, Religious Activities and Education",45470.0,46980.0,50490.0,52660.0,52880.0,60540.0,61740.0,65040.0
"Religious Workers, All Other",36380.0,35860.0,39830.0,40070.0,43290.0,45420.0,45050.0,49830.0
"Lawyers, Judges, and Related Workers",137660.0,139850.0,141180.0,144970.0,144470.0,159710.0,171480.0,177570.0
Lawyers,141890.0,144230.0,145300.0,148910.0,148030.0,163770.0,176470.0,182760.0
Judicial Law Clerks,57920.0,59540.0,59890.0,63860.0,62730.0,66310.0,64880.0,69850.0
"Administrative Law Judges, Adjudicators, and Hearing Officers",98280.0,101210.0,100230.0,102050.0,104160.0,97250.0,119940.0,122620.0
"Arbitrators, Mediators, and Conciliators",73020.0,72760.0,73720.0,76440.0,62350.0,98920.0,95370.0,91170.0
"Judges, Magistrate Judges, and Magistrates",121050.0,121130.0,128550.0,131850.0,142520.0,153700.0,139000.0,143110.0
Legal Support Workers,55330.0,56130.0,56320.0,57890.0,59190.0,63640.0,67290.0,67810.0
Paralegals and Legal Assistants,53910.0,54500.0,55020.0,56610.0,58330.0,62840.0,66460.0,66510.0
Court Reporters,60060.0,62390.0,,,,,,
"Title Examiners, Abstractors, and Searchers",51180.0,51380.0,52050.0,52950.0,52390.0,57030.0,59440.0,59600.0
"Legal Support Workers, All Other",67960.0,71420.0,70840.0,73320.0,73000.0,77200.0,82960.0,86220.0
Postsecondary Teachers,82880.0,85190.0,90830.0,93330.0,95200.0,96130.0,101750.0,102410.0
"Business Teachers, Postsecondary",100270.0,103330.0,105440.0,107270.0,105720.0,108060.0,113240.0,113840.0
"Computer Science Teachers, Postsecondary",91590.0,96200.0,98430.0,98680.0,89610.0,98610.0,106380.0,105830.0
"Mathematical Science Teachers, Postsecondary",84710.0,87140.0,86330.0,86760.0,87980.0,90110.0,95320.0,92880.0
"Architecture Teachers, Postsecondary",91000.0,99320.0,98980.0,100820.0,98600.0,104370.0,114900.0,110360.0
"Engineering Teachers, Postsecondary",109830.0,113680.0,112110.0,114130.0,115590.0,114470.0,120630.0,119340.0
"Agricultural Sciences Teachers, Postsecondary",91690.0,90890.0,89320.0,96200.0,97520.0,96650.0,95610.0,97790.0
"Biological Science Teachers, Postsecondary",93010.0,97340.0,98700.0,101320.0,98710.0,97800.0,102270.0,101340.0
"Forestry and Conservation Science Teachers, Postsecondary",93200.0,92550.0,90940.0,92420.0,93510.0,98160.0,102230.0,103780.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",98560.0,101890.0,102690.0,104710.0,102840.0,107540.0,111930.0,112950.0
"Chemistry Teachers, Postsecondary",90610.0,92360.0,92650.0,94630.0,94060.0,95250.0,102630.0,103030.0
"Environmental Science Teachers, Postsecondary",87660.0,91330.0,93450.0,94520.0,92210.0,91450.0,100910.0,100360.0
"Physics Teachers, Postsecondary",101190.0,103830.0,101110.0,101290.0,99480.0,100810.0,106950.0,105460.0
"Anthropology and Archeology Teachers, Postsecondary",93500.0,94080.0,95140.0,98740.0,102110.0,98940.0,103640.0,102530.0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",83330.0,85450.0,88410.0,88790.0,91680.0,92980.0,100390.0,97350.0
"Economics Teachers, Postsecondary",114820.0,117180.0,119160.0,123720.0,124090.0,122750.0,133650.0,133140.0
"Geography Teachers, Postsecondary",87810.0,88950.0,86540.0,87160.0,88150.0,87880.0,97660.0,99020.0
"Political Science Teachers, Postsecondary",98620.0,99480.0,102290.0,100970.0,98980.0,98420.0,104910.0,105160.0
"Psychology Teachers, Postsecondary",85050.0,88490.0,87530.0,89960.0,88390.0,88470.0,93990.0,93530.0
"Sociology Teachers, Postsecondary",83840.0,83310.0,85240.0,85180.0,87850.0,90200.0,97580.0,97270.0
"Social Sciences Teachers, Postsecondary, All Other",79050.0,87950.0,85390.0,85670.0,87320.0,89350.0,91710.0,92950.0
"Health Specialties Teachers, Postsecondary",122890.0,122320.0,121620.0,124890.0,133310.0,127640.0,134440.0,137900.0
"Nursing Instructors and Teachers, Postsecondary",77360.0,81350.0,83160.0,84060.0,82040.0,84180.0,86530.0,87090.0
"Education Teachers, Postsecondary",72410.0,73680.0,74560.0,75010.0,76990.0,78540.0,80750.0,78500.0
"Library Science Teachers, Postsecondary",73680.0,75450.0,77170.0,77560.0,80850.0,81720.0,88190.0,84320.0
"Criminal Justice and Law Enforcement Teachers, Postsecondary",68980.0,72390.0,72980.0,74740.0,81730.0,78980.0,83470.0,84820.0
"Law Teachers, Postsecondary",129840.0,130710.0,129950.0,134760.0,130820.0,133950.0,142440.0,139950.0
"Social Work Teachers, Postsecondary",74560.0,77520.0,77910.0,78110.0,77650.0,75330.0,80840.0,81880.0
"Art, Drama, and Music Teachers, Postsecondary",78720.0,82560.0,83220.0,84780.0,86240.0,93440.0,100840.0,102240.0
"Communications Teachers, Postsecondary",75640.0,78090.0,79830.0,80940.0,84580.0,84700.0,90950.0,90340.0
"English Language and Literature Teachers, Postsecondary",77660.0,78150.0,80180.0,81340.0,82680.0,83130.0,87090.0,90400.0
"Foreign Language and Literature Teachers, Postsecondary",75950.0,79160.0,80170.0,80410.0,82990.0,83300.0,88490.0,87670.0
"History Teachers, Postsecondary",82900.0,83990.0,84210.0,85630.0,86460.0,88640.0,93120.0,93710.0
"Philosophy and Religion Teachers, Postsecondary",78790.0,82420.0,88970.0,90160.0,88260.0,87100.0,89680.0,88210.0
Graduate Teaching Assistants,37720.0,36390.0,,,,,,
"Home Economics Teachers, Postsecondary",77220.0,77170.0,,,,,,
"Recreation and Fitness Studies Teachers, Postsecondary",69560.0,72190.0,73720.0,75430.0,79080.0,82020.0,87340.0,87980.0
"Vocational Education Teachers, Postsecondary",56630.0,58520.0,,,,,,
"Postsecondary Teachers, All Other",74630.0,76990.0,80720.0,86430.0,92200.0,91760.0,96570.0,94470.0
"Preschool, Primary, Secondary, and Special Education School Teachers",58780.0,59980.0,,,,,,
"Preschool Teachers, Except Special Education",33590.0,34410.0,34650.0,36550.0,36460.0,38640.0,41410.0,41450.0
"Kindergarten Teachers, Except Special Education",57110.0,58370.0,60210.0,61170.0,64490.0,65120.0,67790.0,67020.0
"Elementary School Teachers, Except Special Education",60830.0,62200.0,63930.0,65420.0,67080.0,68000.0,70740.0,69790.0
"Middle School Teachers, Except Special and Career/Technical Education",61040.0,62030.0,63550.0,64990.0,66880.0,67790.0,71460.0,70040.0
"Career/Technical Education Teachers, Middle School",61680.0,62570.0,64900.0,66950.0,69410.0,67680.0,69020.0,68690.0
"Secondary School Teachers, Except Special and Career/Technical Education",62860.0,64340.0,65930.0,67340.0,69530.0,69480.0,73800.0,73700.0
"Career/Technical Education Teachers, Secondary School",61010.0,62810.0,64800.0,65870.0,68960.0,67610.0,70810.0,70550.0
"Special Education Teachers, Preschool",58390.0,61610.0,67060.0,68110.0,71970.0,69620.0,76420.0,72610.0
"Special Education Teachers, Kindergarten and Elementary School",61960.0,63110.0,64420.0,64790.0,67090.0,68580.0,71770.0,70150.0
"Special Education Teachers, Middle School",63250.0,64390.0,65740.0,66300.0,68860.0,69530.0,73630.0,72310.0
"Special Education Teachers, Secondary School",64590.0,65320.0,65710.0,66490.0,70100.0,71290.0,74670.0,74610.0
"Special Education Teachers, All Other",60750.0,62500.0,65350.0,67670.0,71330.0,74310.0,76000.0,74180.0
Other Teachers and Instructors,39290.0,40250.0,40730.0,43520.0,46490.0,48700.0,50650.0,51270.0
Adult Basic and Secondary Education and Literacy Teachers and Instructors,56800.0,58110.0,,,,,,
Self-Enrichment Education Teachers,44630.0,44960.0,,,,,,
"Teachers and Instructors, All Other, Except Substitute Teachers",47490.0,48040.0,,,,,,
Substitute Teachers,31510.0,32360.0,,,,,,
"Librarians, Curators, and Archivists",50540.0,51290.0,52330.0,54400.0,55520.0,56750.0,59680.0,60220.0
Archivists,55470.0,56400.0,57500.0,61210.0,61880.0,63980.0,65700.0,67620.0
Curators,58830.0,58490.0,59130.0,61650.0,63880.0,67490.0,70870.0,70060.0
Museum Technicians and Conservators,44970.0,46870.0,48030.0,49990.0,52030.0,52820.0,54890.0,53630.0
Librarians,60760.0,61530.0,,,,,,
Library Technicians,35510.0,36080.0,36950.0,39630.0,39070.0,40590.0,42570.0,43050.0
"Other Education, Training, and Library Occupations",33320.0,34110.0,,,,,,
Audio-Visual and Multimedia Collections Specialists,51290.0,52270.0,,,,,,
Farm and Home Management Advisors,52220.0,52700.0,,,,,,
