,Total_Approvals 2010,Total_Approvals 2011,Total_Approvals 2012,Total_Approvals 2013,Total_Approvals 2014,Total_Approvals 2015,Total_Approvals 2016,Total_Approvals 2017,Total_Approvals 2018,Total_Approvals 2019,Total_Approvals 2020,Total_Approvals 2021,Approval_Percentage 2010,Approval_Percentage 2011,Approval_Percentage 2012,Approval_Percentage 2013,Approval_Percentage 2014,Approval_Percentage 2015,Approval_Percentage 2016,Approval_Percentage 2017,Approval_Percentage 2018,Approval_Percentage 2019,Approval_Percentage 2020,Approval_Percentage 2021,Total_Approvals 2012-2015,Total_Approvals 2018-2019,Approval_Percentage 2012-2015,Approval_Percentage 2018-2019
"('59', 'Unknown or Unclassified Industries')",,,,1,,,,,,,,,,,,0.000407518,,,,,,,,,1,,0.000104574,
"('60', 'Unknown or Unclassified Industries')",3,,,,,,,,,,,,0.00173904,,,,,,,,,,,,,,,
"('61', 'Educational Services')",25274,31285,22595,26839,24487,20669,23636,23991,40279,49996,24684,42452,14.65082981,13.1578394,10.47063403,10.93737265,9.139668558,9.098792932,8.870074943,9.078902554,7.353859411,8.027978136,7.548323767,6.685185885,94590,90275,9.891619887,7.712529197
"('62', 'Health Care and Social Assistance')",13769,17477,13168,15821,14308,11299,13708,14485,25314,30475,15777,29452,7.981612554,7.350473363,6.102115907,6.447340538,5.340400119,4.973983325,5.144313222,5.481551561,4.621653893,4.89344415,4.824578839,4.637993373,54596,55789,5.709302034,4.766261882
"('63', 'Unknown or Unclassified Industries')",1,,2,,,,,,,,,,0.00057968,,0.00092681,,,,,,,,,,2,,0.000209147,
"('64', 'Unknown or Unclassified Industries')",2,8,1,4,3,2,,,,,,,0.00115936,0.003364638,0.000463405,0.001630072,0.001119737,0.000880429,,,,,,,10,,0.001045736,
"('65', 'Unknown or Unclassified Industries')",1,5,,1,2,,,,,,,,0.00057968,0.002102899,,0.000407518,0.000746491,,,,,,,,3,,0.000313721,
"('66', 'Unknown or Unclassified Industries')",1,,1,1,,,,,,,,,0.00057968,,0.000463405,0.000407518,,,,,,,,,2,,0.000209147,
"('67', 'Unknown or Unclassified Industries')",3,8,4,5,3,,,,,,,,0.00173904,0.003364638,0.00185362,0.002037589,0.001119737,,,,,,,,12,,0.001254884,
"('69', 'Unknown or Unclassified Industries')",,,,,1,1,,,,,,,,,,,0.000373246,0.000440214,,,,,,,2,,0.000209147,
"('70', 'Unknown or Unclassified Industries')",1,1,,,1,,,,,,,,0.00057968,0.00042058,,,0.000373246,,,,,,,,1,,0.000104574,
"('71', 'Arts, Entertainment, and Recreation')",809,1451,708,609,577,429,453,395,767,788,408,822,0.46896104,0.610261306,0.328090679,0.248178395,0.215362795,0.188852009,0.170001013,0.149479659,0.14003352,0.126531058,0.124765682,0.129445557,2323,1555,0.242924548,0.132849437
"('72', 'Accommodation and Food Services')",1268,1499,964,918,824,681,795,729,1373,1637,857,1581,0.735034114,0.630449137,0.446722337,0.374101423,0.307554494,0.299786056,0.298346149,0.275875118,0.250672782,0.262857033,0.262069092,0.248970105,3387,3010,0.354190893,0.257155501
"('73', 'Unknown or Unclassified Industries')",3,7,5,6,8,1,,1,,,,,0.00173904,0.002944059,0.002317025,0.002445107,0.002985966,0.000440214,,0.00037843,,,,,20,,0.002091473,
"('74', 'Unknown or Unclassified Industries')",12,12,15,18,7,,,,,,,,0.006956159,0.005046958,0.006951074,0.007335322,0.00261272,,,,,,,,40,,0.004182945,
"('77', 'Unknown or Unclassified Industries')",,9,7,1,4,,,,,,,,,0.003785218,0.003243834,0.000407518,0.001492983,,,,,,,,12,,0.001254884,
"('78', 'Unknown or Unclassified Industries')",1,,4,7,,1,,,,,,,0.00057968,,0.00185362,0.002852625,,0.000440214,,,,,,,12,,0.001254884,
"('80', 'Unknown or Unclassified Industries')",10,7,9,15,3,,,,,,,,0.005796799,0.002944059,0.004170644,0.006112768,0.001119737,,,,,,,,27,,0.002823488,
"('81', 'Other Services (except Public Administration)')",1242,1548,1315,1211,1276,1029,1133,931,1998,2131,979,2179,0.719962437,0.651057548,0.609377462,0.493504165,0.476261571,0.452980692,0.425190172,0.352317881,0.364780931,0.342179803,0.299376477,0.34314096,4831,4129,0.505195218,0.352755836
"('82', 'Unknown or Unclassified Industries')",2,,2,1,3,6,,,,,,,0.00115936,,0.00092681,0.000407518,0.001119737,0.002641287,,,,,,,12,,0.001254884,
"('83', 'Unknown or Unclassified Industries')",1,3,2,3,3,2,4,,,,,,0.00057968,0.001261739,0.00092681,0.001222554,0.001119737,0.000880429,0.001501113,,,,,,10,,0.001045736,
"('84', 'Unknown or Unclassified Industries')",,,2,2,,5,,,,,,,,,0.00092681,0.000815036,,0.002201072,,,,,,,9,,0.000941163,
"('85', 'Unknown or Unclassified Industries')",,,1,,,,,,,,,,,,0.000463405,,,,,,,,,,1,,0.000104574,
"('86', 'Unknown or Unclassified Industries')",,,,,1,,,,,,,,,,,,0.000373246,,,,,,,,1,,0.000104574,
"('87', 'Unknown or Unclassified Industries')",2,2,1,5,,1,,,,,,,0.00115936,0.00084116,0.000463405,0.002037589,,0.000440214,,,,,,,7,,0.000732015,
"('89', 'Unknown or Unclassified Industries')",1,1,1,,,,,,,,,,0.00057968,0.00042058,0.000463405,,,,,,,,,,1,,0.000104574,
"('91', 'Unknown or Unclassified Industries')",,1,2,2,3,,,,,,,,,0.00042058,0.00092681,0.000815036,0.001119737,,,,,,,,7,,0.000732015,
"('92', 'Public Administration')",590,722,523,521,500,511,561,447,1097,1161,584,1193,0.342011141,0.303658624,0.24236077,0.212316821,0.186622872,0.224949595,0.210531056,0.169157994,0.200282623,0.186424566,0.178586172,0.187869282,2055,2258,0.214898815,0.192909343
"('93', 'Unknown or Unclassified Industries')",,,,,1,,,,,,,,,,,,0.000373246,,,,,,,,1,,0.000104574,
"('94', 'Unknown or Unclassified Industries')",,,1,1,,,,,,,,,,,0.000463405,0.000407518,,,,,,,,,2,,0.000209147,
"('99', 'Unknown or Unclassified Industries')",1,,,,1,1,,,,,,,0.00057968,,,,0.000373246,0.000440214,,,,,,,2,,0.000209147,
"('Unknown', 'Unknown or Unclassified Industries')",1155,1675,3467,4272,3009,462,639,442,2758,1857,542,2782,0.669530285,0.704471184,1.606624837,1.740916426,1.123096447,0.203379086,0.239802754,0.167265847,0.50353644,0.298182963,0.165742646,0.438099198,11210,4615,1.172270419,0.394276624
